[2026-03-24 21:01:32] [INFO    ] discord.client: logging in using static token
[2026-03-24 21:01:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-03-24 21:01:32] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-03-24 21:01:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1485841393833480262', 'username': 'dndapp', 'avatar': None, 'discriminator': '6134', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-03-24 21:01:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-03-24 21:01:32] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-03-24 21:01:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1485841393833480262', 'name': 'dndapp', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1485841393833480262', 'username': 'dndapp', 'avatar': None, 'discriminator': '6134', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '695290e7f2c3883780dc5636308e29425c43eeeb4a2e2d66f634d9b447f135fd', 'flags': 8953856, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '592492112357097473', 'username': 'tomot_23', 'avatar': '3fdd0a161a32314aebda8bfcc7f0979a', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 4273010, 'global_name': 'Tommy Gill', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#413372', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 480, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-03-24 21:01:33] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-03-24 21:01:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-nbnm",{"micros":0.0}]']}}
[2026-03-24 21:01:33] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-03-24 21:01:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-03-24 21:01:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'dndapp', 'primary_guild': None, 'mfa_enabled': False, 'id': '1485841393833480262', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6134', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '5130a37176964793b42d589e192c89f4', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1485845528175706276'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'us-east', 'newark', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1485841393833480262', 'flags_new': '8953856', 'flags': 8953856}, '_trace': ['["gateway-prd-arm-us-east1-d-nbnm",{"micros":181659,"calls":["id_created",{"micros":2149,"calls":[]},"session_lookup_time",{"micros":276,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"sessions-prd-gcp-us-east1-d-308",{"micros":177859,"calls":["start_session",{"micros":94618,"calls":["discord-api-rpc-86d5d847df-tk7qd",{"micros":27163,"calls":["get_user",{"micros":5940},"get_guilds",{"micros":5588},"send_scheduled_deletion_message",{"micros":11},"guild_join_requests",{"micros":1205},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":1080},"apex_experiments",{"micros":58915},"sessions_experiments",{"micros":8},"played_application_ids",{"micros":4},"linked_users",{"micros":3},"ad_personalization_toggles_disabled",{"micros":4},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":38,"calls":[]},"presence_started",{"micros":507,"calls":[]},"guilds_started",{"micros":68,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":82590,"calls":[]},"connect_finished",{"micros":82606,"calls":[]},"build_ready",{"micros":16,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-03-24 21:01:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-24 21:01:33] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 5130a37176964793b42d589e192c89f4).
[2026-03-24 21:01:33] [DEBUG   ] discord.client: Dispatching event connect
